SERVICE,"3TSUN, 4TRSA",,,,
LINE,6,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Duke/VA Hospitals-American Village,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Constitution Dr at Forest Apts,Morreene Rd at Glasson St,Erwin Rd at Duke Hospital,Durham Station 
STOPID,,5398,6551,6012,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,629,634,640,655
2,INBOUND,729,734,740,755
3,INBOUND,829,834,840,855
4,INBOUND,929,934,940,955
5,INBOUND,1029,1034,1040,1055
6,INBOUND,1129,1134,1140,1155
7,INBOUND,1229,1234,1240,1255
8,INBOUND,1329,1334,1340,1355
9,INBOUND,1429,1434,1440,1455
10,INBOUND,1529,1534,1540,1555
11,INBOUND,1629,1634,1640,1655
12,INBOUND,1729,1734,1740,1755
13,INBOUND,1829,1834,1840,1855
14,INBOUND,1929,1934,1940,1955
15,INBOUND,2029,2034,2040,2055
